id,budget,countries,imdbId,imdbRating,imdbVotes,languages,movieId,plot,poster,released,revenue,runtime,title,tmdbId,url,year
20,62000000,[USA],0112346,6.8,41983,"[English,  French]",11,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.",https://image.tmdb.org/t/p/w440_and_h660_face/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995-11-17,107879496,114,"American President, The",9087,https://themoviedb.org/movie/9087,1995
21,null,"[USA,  France]",0112896,5.8,29321,"[English,  German]",12,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,https://image.tmdb.org/t/p/w440_and_h660_face/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995-12-22,null,88,Dracula: Dead and Loving It,12110,https://themoviedb.org/movie/12110,1995
22,null,[USA],0112453,7.1,29277,[English],13,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",https://image.tmdb.org/t/p/w440_and_h660_face/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg,1995-12-22,11348324,78,Balto,21032,https://themoviedb.org/movie/21032,1995
24,44000000,[USA],0113987,7.1,23508,"[English,  Mandarin,  Russian]",14,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",https://image.tmdb.org/t/p/w440_and_h660_face/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,1996-01-05,13681765,192,Nixon,10858,https://themoviedb.org/movie/10858,1995
25,98000000,"[USA,  France,  Italy,  Germany]",0112760,5.6,20522,[English],15,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,https://image.tmdb.org/t/p/w440_and_h660_face/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1995-12-22,10017322,124,Cutthroat Island,1408,https://themoviedb.org/movie/1408,1995
26,52000000,"[USA,  France]",0112641,8.2,320118,[English],16,"Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.",https://image.tmdb.org/t/p/w440_and_h660_face/4TS5O1IP42bY2BvgMxL156EENy.jpg,1995-11-22,116112375,178,Casino,524,https://themoviedb.org/movie/524,1995
27,16000000,"[USA,  UK]",0114388,7.7,76082,"[English,  French]",17,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",https://image.tmdb.org/t/p/w440_and_h660_face/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,1996-01-26,134582776,136,Sense and Sensibility,4584,https://themoviedb.org/movie/4584,1995
28,4000000,[USA],0113101,6.7,75952,[English],18,Four interlocking tales that take place in a fading hotel on New Year's Eve.,https://image.tmdb.org/t/p/w440_and_h660_face/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg,1995-12-25,4257354,98,Four Rooms,5,https://themoviedb.org/movie/5,1995
29,30000000,[USA],0112281,6.3,155200,[English],19,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",https://image.tmdb.org/t/p/w440_and_h660_face/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,1995-11-10,212385533,90,Ace Ventura: When Nature Calls,9273,https://themoviedb.org/movie/9273,1995
30,68000000,[USA],0113845,5.6,31488,[English],20,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",https://image.tmdb.org/t/p/w440_and_h660_face/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,1995-11-22,77224232,110,Money Train,11517,https://themoviedb.org/movie/11517,1995
31,30250000,[USA],0113161,6.9,61591,[English],21,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,https://image.tmdb.org/t/p/w440_and_h660_face/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg,1995-10-20,115101622,105,Get Shorty,8012,https://themoviedb.org/movie/8012,1995
32,null,[USA],0112722,6.6,41335,[English],22,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,https://image.tmdb.org/t/p/w440_and_h660_face/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg,1995-10-27,null,123,Copycat,1710,https://themoviedb.org/movie/1710,1995
34,50000000,"[France,  USA]",0112401,6.3,60996,"[English,  Dutch,  Spanish]",23,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,https://image.tmdb.org/t/p/w440_and_h660_face/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg,1995-10-06,30303072,132,Assassins,9691,https://themoviedb.org/movie/9691,1995
35,null,[USA],0114168,6.5,23715,[English],24,A young bald albino boy with unique powers shakes up the rural community he lives in.,https://image.tmdb.org/t/p/w440_and_h660_face/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,1995-10-27,null,111,Powder,12665,https://themoviedb.org/movie/12665,1995
36,3600000,[USA],0113627,7.6,91469,"[English,  Russian]",25,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",https://image.tmdb.org/t/p/w440_and_h660_face/rl5ROyXACDkiSbO6PnKK6Onnw26.jpg,1996-02-09,49800000,111,Leaving Las Vegas,451,https://themoviedb.org/movie/451,1995
38,null,"[USA,  UK]",0114057,7.0,7241,[English],26,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,https://image.tmdb.org/t/p/w440_and_h660_face/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg,1996-01-19,null,123,Othello,16420,https://themoviedb.org/movie/16420,1995
39,12000000,[USA],0114011,6.7,21002,[English],27,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,https://image.tmdb.org/t/p/w440_and_h660_face/yQ8xP1WOfatqgUp4e3X8n73itJc.jpg,1995-10-20,27400000,100,Now and Then,9263,https://themoviedb.org/movie/9263,1995
40,null,"[UK,  USA,  France]",0114117,7.7,8758,[English],28,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",https://image.tmdb.org/t/p/w440_and_h660_face/tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg,1995-09-27,null,107,Persuasion,17015,https://themoviedb.org/movie/17015,1995
41,18000000,"[France,  Germany,  Spain]",0112682,7.7,54490,"[French,  Cantonese]",29,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",https://image.tmdb.org/t/p/w440_and_h660_face/xQrp6wxaNMXVd259235d1X0LBsw.jpg,1995-12-15,1738611,112,"City of Lost Children, The (Cité des enfants perdus, La)",902,https://themoviedb.org/movie/902,1995
42,2300000,"[France,  China]",0115012,7.2,4140,[Mandarin],30,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,https://image.tmdb.org/t/p/w440_and_h660_face/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,1995-12-22,null,108,Shanghai Triad (Yao a yao yao dao waipo qiao),37557,https://themoviedb.org/movie/37557,1995
43,23000000,[USA],0112792,6.4,37045,[English],31,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,https://image.tmdb.org/t/p/w440_and_h660_face/y2iKziYm1rG5AWfL3el7HgxhoIp.jpg,1995-08-11,179519401,99,Dangerous Minds,9909,https://themoviedb.org/movie/9909,1995
44,29500000,[USA],0114746,8.1,446779,"[English,  French]",32,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",https://image.tmdb.org/t/p/w440_and_h660_face/kKoG0hXBmBbkDnJYhhHisdin73W.jpg,1996-01-05,168840000,129,Twelve Monkeys (a.k.a. 12 Monkeys),63,https://themoviedb.org/movie/63,1995
45,30000000,"[Australia,  USA]",0112431,6.8,91870,[English],34,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",https://image.tmdb.org/t/p/w440_and_h660_face/bjDIp0b5TQRx4kF8l9TKeUANLTp.jpg,1995-08-04,254134910,91,Babe,9598,https://themoviedb.org/movie/9598,1995
46,null,"[UK,  France]",0112637,6.9,4351,[English],35,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,https://image.tmdb.org/t/p/w440_and_h660_face/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,1995-11-10,null,121,Carrington,47018,https://themoviedb.org/movie/47018,1995
47,11000000,"[UK,  USA]",0112818,7.6,71231,[English],36,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",https://image.tmdb.org/t/p/w440_and_h660_face/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,1996-02-02,39363635,122,Dead Man Walking,687,https://themoviedb.org/movie/687,1995
48,null,[USA],0112286,6.6,203,"[English,  Russian]",37,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",null,1995-10-20,16015639,51,Across the Sea of Time,139405,https://themoviedb.org/movie/139405,1995
50,null,[USA],0113442,5.7,14602,[English],38,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",https://image.tmdb.org/t/p/w440_and_h660_face/sdes5TrRbymELYLG85YIxmFb1OP.jpg,1995-11-17,null,101,It Takes Two,33689,https://themoviedb.org/movie/33689,1995
52,12000000,[USA],0112697,6.8,116376,"[English,  Spanish]",39,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",https://image.tmdb.org/t/p/w440_and_h660_face/71RW4lkES2Dt7vSLSXvekGYNskG.jpg,1995-07-19,56631572,97,Clueless,9603,https://themoviedb.org/movie/9603,1995
53,null,"[South Africa,  USA]",0112749,6.9,1399,[English],40,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,https://image.tmdb.org/t/p/w440_and_h660_face/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,1995-12-15,676525,106,"Cry, the Beloved Country",34615,https://themoviedb.org/movie/34615,1995
54,null,"[UK,  USA]",0114279,7.5,11297,[English],41,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,https://image.tmdb.org/t/p/w440_and_h660_face/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,1995-12-29,2748518,104,Richard III,31174,https://themoviedb.org/movie/31174,1995
55,10000000,[USA],0112819,6.8,14749,[English],42,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",https://image.tmdb.org/t/p/w440_and_h660_face/gCqfjRQtBugpmbkBrmGzCLSJo3m.jpg,1995-10-06,24147179,119,Dead Presidents,11443,https://themoviedb.org/movie/11443,1995
57,19000000,"[USA,  UK]",0114272,6.7,7423,"[English,  Latin]",43,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",https://image.tmdb.org/t/p/w440_and_h660_face/wkf0z1GSbVXrGvUpT5ApBNA4VEW.jpg,1996-02-02,null,117,Restoration,35196,https://themoviedb.org/movie/35196,1995
58,18000000,[USA],0113855,5.8,79687,[English],44,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,https://image.tmdb.org/t/p/w440_and_h660_face/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,1995-08-18,122195920,101,Mortal Kombat,9312,https://themoviedb.org/movie/9312,1995
59,20000000,"[USA,  UK,  Canada]",0114681,6.8,33928,[English],45,"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.",https://image.tmdb.org/t/p/w440_and_h660_face/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,1995-10-06,21284514,106,To Die For,577,https://themoviedb.org/movie/577,1995
60,10000000,[USA],0113347,6.2,8258,[English],46,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,https://image.tmdb.org/t/p/w440_and_h660_face/vwYRaERccwXWCYrTzeWRZRarJOo.jpg,1995-10-06,23574130,109,How to Make an American Quilt,11861,https://themoviedb.org/movie/11861,1995
61,33000000,[USA],0114369,8.6,981458,[English],47,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.",https://image.tmdb.org/t/p/w440_and_h660_face/6yoghtyTpznpBik8EngEmJskVUO.jpg,1995-09-22,327311859,127,Seven (a.k.a. Se7en),807,https://themoviedb.org/movie/807,1995
62,55000000,[USA],0114148,6.6,113939,"[English,  Algonquin]",48,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,https://image.tmdb.org/t/p/w440_and_h660_face/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,1995-06-23,346079773,81,Pocahontas,10530,https://themoviedb.org/movie/10530,1995
64,null,[Canada],0114916,6.8,5192,[English],49,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",https://image.tmdb.org/t/p/w440_and_h660_face/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg,1995-11-17,null,94,When Night Is Falling,8391,https://themoviedb.org/movie/8391,1995
65,6000000,"[USA,  Germany]",0114814,8.6,711361,"[English,  Hungarian,  Spanish,  French]",50,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.",https://image.tmdb.org/t/p/w440_and_h660_face/d2IalvQ6eaEAsLVTFUEHf6roHEk.jpg,1995-09-15,23341568,106,"Usual Suspects, The",629,https://themoviedb.org/movie/629,1995
66,15000000,[USA],0113819,7.1,30824,[English],52,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.",https://image.tmdb.org/t/p/w440_and_h660_face/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg,1995-11-10,6700000,95,Mighty Aphrodite,11448,https://themoviedb.org/movie/11448,1995
67,null,"[Italy,  France,  Switzerland]",0110299,7.6,1714,"[Albanian,  Italian]",53,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,https://image.tmdb.org/t/p/w440_and_h660_face/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg,1995-10-04,null,116,Lamerica,49133,https://themoviedb.org/movie/49133,1994
68,null,[USA],0112499,5.4,6671,[English],54,"Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...",https://image.tmdb.org/t/p/w440_and_h660_face/kbJqLMRUoVmNkQ4VgAtDwGis2dJ.jpg,1995-09-29,null,100,"Big Green, The",26441,https://themoviedb.org/movie/26441,1995
69,null,"[USA,  France]",0113158,6.4,2307,"[English,  Hebrew]",55,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...",https://image.tmdb.org/t/p/w440_and_h660_face/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,1995-12-08,null,115,Georgia,97406,https://themoviedb.org/movie/97406,1995
70,null,[USA],0113321,6.6,8945,[English],57,"After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",https://image.tmdb.org/t/p/w440_and_h660_face/a8MslR6deQQVe8JR542XDSwHiPB.jpg,1995-11-03,17519169,103,Home for the Holidays,9089,https://themoviedb.org/movie/9089,1995
71,null,"[Italy,  France,  Belgium]",0110877,7.8,25355,"[Italian,  Spanish]",58,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,https://image.tmdb.org/t/p/w440_and_h660_face/zqK1rE4gpDvEn612HeJF4EnoYCG.jpg,1996-03-22,null,108,"Postman, The (Postino, Il)",11010,https://themoviedb.org/movie/11010,1994
72,null,"[Canada,  UK,  France]",0112714,7.6,1347,"[French,  English]",59,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...",https://image.tmdb.org/t/p/w440_and_h660_face/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg,1996-08-16,null,100,"Confessional, The (Confessionnal, Le)",99040,https://themoviedb.org/movie/99040,1995
73,45000000,[USA],0113419,5.9,20201,[English],60,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...,https://image.tmdb.org/t/p/w440_and_h660_face/6jxwjs285L16lO3XAX7FzfQpREb.jpg,1995-07-14,null,96,"Indian in the Cupboard, The",11359,https://themoviedb.org/movie/11359,1995
74,20000000,[USA],0116260,6.1,9441,"[English,  French,  Spanish,  Korean]",61,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",https://image.tmdb.org/t/p/w440_and_h660_face/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,26877589,101,Eye for an Eye,17182,https://themoviedb.org/movie/17182,1996
75,23000000,[USA],0113862,7.3,29633,"[English,  American Sign Language]",62,A frustrated composer finds fulfillment as a high school music teacher.,https://image.tmdb.org/t/p/w440_and_h660_face/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1996-01-19,106269971,143,Mr. Holland's Opus,2054,https://themoviedb.org/movie/2054,1995
76,null,[USA],0116126,6.6,37036,"[English,  Spanish]",63,"Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood, South Central, ...",https://image.tmdb.org/t/p/w440_and_h660_face/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,1996-01-12,null,89,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607,https://themoviedb.org/movie/10607,1996
77,null,[USA],0118002,5.2,4448,[English],64,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...",https://image.tmdb.org/t/p/w440_and_h660_face/kvQl6sJyplWRQ0BGp0E8kBUQKO8.jpg,1996-01-12,10658278,96,Two if by Sea,19760,https://themoviedb.org/movie/19760,1996
78,15000000,[USA],0115683,4.3,21048,[English],65,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",https://image.tmdb.org/t/p/w440_and_h660_face/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,1996-01-12,null,88,Bio-Dome,9536,https://themoviedb.org/movie/9536,1996
79,null,[USA],0116839,2.4,7798,[English],66,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",https://image.tmdb.org/t/p/w440_and_h660_face/2Zp26DfI6pTqiyHUkL7bMjv28tG.jpg,1996-01-12,2409225,93,Lawnmower Man 2: Beyond Cyberspace,11525,https://themoviedb.org/movie/11525,1996
80,null,[France],0113149,6.4,3674,"[French,  Spanish]",68,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",https://image.tmdb.org/t/p/w440_and_h660_face/5WhBRgimR7mHiB4oSmXDPXzn81j.jpg,1996-01-19,null,104,French Twist (Gazon maudit),4482,https://themoviedb.org/movie/4482,1995
81,3500000,[USA],0113118,7.3,71667,[English],69,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by.",https://image.tmdb.org/t/p/w440_and_h660_face/kvtBMDc67NShviLR0AyjWklT8VW.jpg,1995-04-26,28215918,91,Friday,10634,https://themoviedb.org/movie/10634,1995
82,19000000,[USA],0116367,7.3,212165,"[English,  Spanish]",70,"Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.",https://image.tmdb.org/t/p/w440_and_h660_face/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,1996-01-19,25836616,108,From Dusk Till Dawn,755,https://themoviedb.org/movie/755,1996
83,50000000,[USA],0113010,4.1,9973,"[English,  Russian]",71,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",https://image.tmdb.org/t/p/w440_and_h660_face/sLmQMGJXQI4zakDTqq7J0d9nCU3.jpg,1995-11-03,11534477,91,Fair Game,11859,https://themoviedb.org/movie/11859,1995
84,null,[USA],0113537,7.1,6885,[English],72,"Following graduation, a handful of college students do nothing and talk about it wittily.",https://image.tmdb.org/t/p/w440_and_h660_face/186brkmaBmopqcM0dPs71tj9BfM.jpg,1995-10-06,718490,96,Kicking and Screaming,28387,https://themoviedb.org/movie/28387,1995
85,null,[France],0113828,7.5,3151,"[French,  German,  English]",73,Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...,https://image.tmdb.org/t/p/w440_and_h660_face/ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg,1995-11-03,null,175,"Misérables, Les",48750,https://themoviedb.org/movie/48750,1995
86,null,[USA],0115644,6.0,6660,[English],74,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",https://image.tmdb.org/t/p/w440_and_h660_face/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg,1996-01-26,19030691,87,Bed of Roses,20927,https://themoviedb.org/movie/20927,1996
87,20000000,"[Canada,  USA,  Japan]",0114367,6.4,19542,[English],76,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",https://image.tmdb.org/t/p/w440_and_h660_face/5eD94VJwaui14lBozxRQHWhA06X.jpg,1996-01-26,5781885,108,Screamers,9102,https://themoviedb.org/movie/9102,1995
88,null,"[Germany,  USA]",0113973,7.3,534,"[English,  German]",77,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...",null,1995-11-16,null,67,Nico Icon,124626,https://themoviedb.org/movie/124626,1995
89,null,[USA],0112744,6.4,10337,[English],78,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.,https://image.tmdb.org/t/p/w440_and_h660_face/otL93Cs0pHAc0pR4CF3yAY436tY.jpg,1995-11-16,null,111,"Crossing Guard, The",27526,https://themoviedb.org/movie/27526,1995
90,44000000,[USA],0116731,5.6,13707,[English],79,"When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as The Teacher to persuade the other jurors to vote not guilty. He threatens to kill her son...",https://image.tmdb.org/t/p/w440_and_h660_face/dZ94mKfHmYqwIOd826dF5z5aGnr.jpg,1996-02-02,22754725,118,"Juror, The",9623,https://themoviedb.org/movie/9623,1996
91,null,[Iran],0112445,7.8,4509,[Persian],80,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,https://image.tmdb.org/t/p/w440_and_h660_face/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg,1995-11-27,null,85,"White Balloon, The (Badkonake sefid)",46785,https://themoviedb.org/movie/46785,1995
92,8000000,[USA],0114660,6.8,21912,[English],81,Five different criminals face imminent death after botching a job quite badly.,https://image.tmdb.org/t/p/w440_and_h660_face/kATmorfxsxbS0GSKOVJe4qvPLh5.jpg,1995-12-01,529766,115,Things to Do in Denver When You're Dead,400,https://themoviedb.org/movie/400,1995
93,900000,"[Netherlands,  Belgium,  UK,  France]",0112379,7.5,6659,[Dutch],82,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",https://image.tmdb.org/t/p/w440_and_h660_face/7Yz6IXplDRtasBwRkdv0OguIV0B.jpg,1996-02-02,null,102,Antonia's Line (Antonia),880,https://themoviedb.org/movie/880,1995
